#nanoseconds	topic	value
0	player/clear_price	-0.2
0	eplus_control/controller_house_1_1_thermostat_controller_cooling_setpoint	75.96826307075152
0	eplus_control/controller_house_1_2_thermostat_controller_cooling_setpoint	75.05842049946574
0	eplus_control/controller_house_1_3_thermostat_controller_cooling_setpoint	74.64988299765727
0	eplus_control/controller_house_1_4_thermostat_controller_cooling_setpoint	74.88898682300665
0	eplus_control/controller_house_1_5_thermostat_controller_cooling_setpoint	75.88599051638332
0	eplus_control/controller_house_1_6_thermostat_controller_cooling_setpoint	75.54387415815542
0	eplus_control/controller_house_1_7_thermostat_controller_cooling_setpoint	75.52068918811372
0	eplus_control/controller_house_1_8_thermostat_controller_cooling_setpoint	74.65409732774522
0	eplus_control/controller_house_1_9_thermostat_controller_cooling_setpoint	75.97348582134512
0	eplus_control/controller_house_1_10_thermostat_controller_cooling_setpoint	75.20100058242242
0	eplus_control/controller_house_1_11_thermostat_controller_cooling_setpoint	75.11072573224601
0	eplus_control/controller_house_1_12_thermostat_controller_cooling_setpoint	75.01972676723406
0	eplus_control/controller_house_2_1_thermostat_controller_cooling_setpoint	74.82155984810775
0	eplus_control/controller_house_2_2_thermostat_controller_cooling_setpoint	74.80730140446009
0	eplus_control/controller_house_2_3_thermostat_controller_cooling_setpoint	75.00621468125942
0	eplus_control/controller_house_2_4_thermostat_controller_cooling_setpoint	74.88493519117779
0	eplus_control/controller_house_2_5_thermostat_controller_cooling_setpoint	75.65684871393306
0	eplus_control/controller_house_2_6_thermostat_controller_cooling_setpoint	75.02538126588041
0	eplus_control/controller_house_2_7_thermostat_controller_cooling_setpoint	75.23094739886189
0	eplus_control/controller_house_2_8_thermostat_controller_cooling_setpoint	74.50829729679022
0	eplus_control/controller_house_2_9_thermostat_controller_cooling_setpoint	75.25309276102519
0	eplus_control/controller_house_2_10_thermostat_controller_cooling_setpoint	75.64559709305018
0	eplus_control/controller_house_2_11_thermostat_controller_cooling_setpoint	75.33133397881593
0	eplus_control/controller_house_2_12_thermostat_controller_cooling_setpoint	75.17022446872018
0	eplus_control/controller_house_3_1_thermostat_controller_cooling_setpoint	74.28711502414917
0	eplus_control/controller_house_3_2_thermostat_controller_cooling_setpoint	75.12186795788799
0	eplus_control/controller_house_3_3_thermostat_controller_cooling_setpoint	74.02313533258753
0	eplus_control/controller_house_3_4_thermostat_controller_cooling_setpoint	75.61229749695573
0	eplus_control/controller_house_3_5_thermostat_controller_cooling_setpoint	75.33242096112632
0	eplus_control/controller_house_3_6_thermostat_controller_cooling_setpoint	75.11078899129186
0	eplus_control/controller_house_3_7_thermostat_controller_cooling_setpoint	74.28426331980842
0	eplus_control/controller_house_3_8_thermostat_controller_cooling_setpoint	74.34334471660644
0	eplus_control/controller_house_3_9_thermostat_controller_cooling_setpoint	74.24358678345826
0	eplus_control/controller_house_3_10_thermostat_controller_cooling_setpoint	75.01504457463645
0	eplus_control/controller_house_3_11_thermostat_controller_cooling_setpoint	75.23954119936035
0	eplus_control/controller_house_3_12_thermostat_controller_cooling_setpoint	74.19164830402212
0	eplus_control/controller_house_4_1_thermostat_controller_cooling_setpoint	75.2698478568597
0	eplus_control/controller_house_4_2_thermostat_controller_cooling_setpoint	75.7225003218372
0	eplus_control/controller_house_4_3_thermostat_controller_cooling_setpoint	74.60814356013859
0	eplus_control/controller_house_4_4_thermostat_controller_cooling_setpoint	75.55248967734366
