#time	topic  value
0   clear_price   -0.2
60000000000   clear_price   -0.2
120000000000   clear_price   -0.2
180000000000   clear_price   -0.2
240000000000   clear_price   -0.2
300000000000   clear_price   -0.2
360000000000   clear_price   -0.2
420000000000   clear_price   -0.2
480000000000   clear_price   -0.2
540000000000   clear_price   -0.2
600000000000   clear_price   -0.2
660000000000   clear_price   -0.2
720000000000   clear_price   -0.2
780000000000   clear_price   -0.2
840000000000   clear_price   -0.2
900000000000   clear_price   -0.2
960000000000   clear_price   -0.2
1020000000000   clear_price   -0.2
1080000000000   clear_price   -0.2
1140000000000   clear_price   -0.2
1200000000000   clear_price   -0.2
1260000000000   clear_price   -0.2
1320000000000   clear_price   -0.2
1380000000000   clear_price   -0.2
1440000000000   clear_price   -0.2
1500000000000   clear_price   -0.2
1560000000000   clear_price   -0.2
1620000000000   clear_price   -0.2
1680000000000   clear_price   -0.2
1740000000000   clear_price   -0.2
1800000000000   clear_price   -0.2
1860000000000   clear_price   -0.2
1920000000000   clear_price   -0.2
1980000000000   clear_price   -0.2
2040000000000   clear_price   -0.2
2100000000000   clear_price   -0.2
2160000000000   clear_price   -0.2
2220000000000   clear_price   -0.2
2280000000000   clear_price   -0.2
2340000000000   clear_price   -0.2
2400000000000   clear_price   -0.2
2460000000000   clear_price   -0.2
2520000000000   clear_price   -0.2
2580000000000   clear_price   -0.2
2640000000000   clear_price   -0.2
2700000000000   clear_price   -0.2
2760000000000   clear_price   -0.2
2820000000000   clear_price   -0.2
2880000000000   clear_price   -0.2
2940000000000   clear_price   -0.2
3000000000000   clear_price   -0.2
3060000000000   clear_price   -0.2
3120000000000   clear_price   -0.2
3180000000000   clear_price   -0.2
3240000000000   clear_price   -0.2
3300000000000   clear_price   -0.2
3360000000000   clear_price   -0.2
3420000000000   clear_price   -0.2
3480000000000   clear_price   -0.2
3540000000000   clear_price   -0.2
3600000000000   clear_price   -0.2
3660000000000   clear_price   -0.2
3720000000000   clear_price   -0.2
3780000000000   clear_price   -0.2
3840000000000   clear_price   -0.2
3900000000000   clear_price   -0.2
3960000000000   clear_price   -0.2
4020000000000   clear_price   -0.2
4080000000000   clear_price   -0.2
4140000000000   clear_price   -0.2
4200000000000   clear_price   -0.2
4260000000000   clear_price   -0.2
4320000000000   clear_price   -0.2
4380000000000   clear_price   -0.2
4440000000000   clear_price   -0.2
4500000000000   clear_price   -0.2
4560000000000   clear_price   -0.2
4620000000000   clear_price   -0.2
4680000000000   clear_price   -0.2
4740000000000   clear_price   -0.2
4800000000000   clear_price   -0.2
4860000000000   clear_price   -0.2
4920000000000   clear_price   -0.2
4980000000000   clear_price   -0.2
5040000000000   clear_price   -0.2
5100000000000   clear_price   -0.2
5160000000000   clear_price   -0.2
5220000000000   clear_price   -0.2
5280000000000   clear_price   -0.2
5340000000000   clear_price   -0.2
5400000000000   clear_price   -0.2
5460000000000   clear_price   -0.2
5520000000000   clear_price   -0.2
5580000000000   clear_price   -0.2
5640000000000   clear_price   -0.2
5700000000000   clear_price   -0.2
5760000000000   clear_price   -0.2
5820000000000   clear_price   -0.2
5880000000000   clear_price   -0.2
5940000000000   clear_price   -0.2
6000000000000   clear_price   -0.2
6060000000000   clear_price   -0.2
6120000000000   clear_price   -0.2
6180000000000   clear_price   -0.2
6240000000000   clear_price   -0.2
6300000000000   clear_price   -0.2
6360000000000   clear_price   -0.2
6420000000000   clear_price   -0.2
6480000000000   clear_price   -0.2
6540000000000   clear_price   -0.2
6600000000000   clear_price   -0.2
6660000000000   clear_price   -0.2
6720000000000   clear_price   -0.2
6780000000000   clear_price   -0.2
6840000000000   clear_price   -0.2
6900000000000   clear_price   -0.2
6960000000000   clear_price   -0.2
7020000000000   clear_price   -0.2
7080000000000   clear_price   -0.2
7140000000000   clear_price   -0.2
7200000000000   clear_price   -0.2
7260000000000   clear_price   -0.2
7320000000000   clear_price   -0.2
7380000000000   clear_price   -0.2
7440000000000   clear_price   -0.2
7500000000000   clear_price   -0.2
7560000000000   clear_price   -0.2
7620000000000   clear_price   -0.2
7680000000000   clear_price   -0.2
7740000000000   clear_price   -0.2
7800000000000   clear_price   -0.2
7860000000000   clear_price   -0.2
7920000000000   clear_price   -0.2
7980000000000   clear_price   -0.2
8040000000000   clear_price   -0.2
8100000000000   clear_price   -0.2
8160000000000   clear_price   -0.2
8220000000000   clear_price   -0.2
8280000000000   clear_price   -0.2
8340000000000   clear_price   -0.2
8400000000000   clear_price   -0.2
8460000000000   clear_price   -0.2
8520000000000   clear_price   -0.2
8580000000000   clear_price   -0.2
8640000000000   clear_price   -0.2
8700000000000   clear_price   -0.2
8760000000000   clear_price   -0.2
8820000000000   clear_price   -0.2
8880000000000   clear_price   -0.2
8940000000000   clear_price   -0.2
9000000000000   clear_price   -0.2
9060000000000   clear_price   -0.2
9120000000000   clear_price   -0.2
9180000000000   clear_price   -0.2
9240000000000   clear_price   -0.2
9300000000000   clear_price   -0.2
9360000000000   clear_price   -0.2
9420000000000   clear_price   -0.2
9480000000000   clear_price   -0.2
9540000000000   clear_price   -0.2
9600000000000   clear_price   -0.2
9660000000000   clear_price   -0.2
9720000000000   clear_price   -0.2
9780000000000   clear_price   -0.2
9840000000000   clear_price   -0.2
9900000000000   clear_price   -0.2
9960000000000   clear_price   -0.2
10020000000000   clear_price   -0.2
10080000000000   clear_price   -0.2
10140000000000   clear_price   -0.2
10200000000000   clear_price   -0.2
10260000000000   clear_price   -0.2
10320000000000   clear_price   -0.2
10380000000000   clear_price   -0.2
10440000000000   clear_price   -0.2
10500000000000   clear_price   -0.2
10560000000000   clear_price   -0.2
10620000000000   clear_price   -0.2
10680000000000   clear_price   -0.2
10740000000000   clear_price   -0.2
10800000000000   clear_price   -0.2
10860000000000   clear_price   -0.2
10920000000000   clear_price   -0.2
10980000000000   clear_price   -0.2
11040000000000   clear_price   -0.2
11100000000000   clear_price   -0.2
11160000000000   clear_price   -0.2
11220000000000   clear_price   -0.2
11280000000000   clear_price   -0.2
11340000000000   clear_price   -0.2
11400000000000   clear_price   -0.2
11460000000000   clear_price   -0.2
11520000000000   clear_price   -0.2
11580000000000   clear_price   -0.2
11640000000000   clear_price   -0.2
11700000000000   clear_price   -0.2
11760000000000   clear_price   -0.2
11820000000000   clear_price   -0.2
11880000000000   clear_price   -0.2
11940000000000   clear_price   -0.2
12000000000000   clear_price   -0.2
12060000000000   clear_price   -0.2
12120000000000   clear_price   -0.2
12180000000000   clear_price   -0.2
12240000000000   clear_price   -0.2
12300000000000   clear_price   -0.2
12360000000000   clear_price   -0.2
12420000000000   clear_price   -0.2
12480000000000   clear_price   -0.2
12540000000000   clear_price   -0.2
12600000000000   clear_price   -0.2
12660000000000   clear_price   -0.2
12720000000000   clear_price   -0.2
12780000000000   clear_price   -0.2
12840000000000   clear_price   -0.2
12900000000000   clear_price   -0.2
12960000000000   clear_price   -0.2
13020000000000   clear_price   -0.2
13080000000000   clear_price   -0.2
13140000000000   clear_price   -0.2
13200000000000   clear_price   -0.2
13260000000000   clear_price   -0.2
13320000000000   clear_price   -0.2
13380000000000   clear_price   -0.2
13440000000000   clear_price   -0.2
13500000000000   clear_price   -0.2
13560000000000   clear_price   -0.2
13620000000000   clear_price   -0.2
13680000000000   clear_price   -0.2
13740000000000   clear_price   -0.2
13800000000000   clear_price   -0.2
13860000000000   clear_price   -0.2
13920000000000   clear_price   -0.2
13980000000000   clear_price   -0.2
14040000000000   clear_price   -0.2
14100000000000   clear_price   -0.2
14160000000000   clear_price   -0.2
14220000000000   clear_price   -0.2
14280000000000   clear_price   -0.2
14340000000000   clear_price   -0.2
14400000000000   clear_price   -0.2
14460000000000   clear_price   -0.2
14520000000000   clear_price   -0.2
14580000000000   clear_price   -0.2
14640000000000   clear_price   -0.2
14700000000000   clear_price   -0.2
14760000000000   clear_price   -0.2
14820000000000   clear_price   -0.2
14880000000000   clear_price   -0.2
14940000000000   clear_price   -0.2
