# file...... house_1_1.csv
# date...... Thu Jul 27 00:24:27 2017
# user...... hieutn
# host...... (null)
# target.... house 870
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,cooling_setpoint,heating_setpoint,air_temperature,outdoor_temperature,hvac_load,last_cooling_load,system_mode
2004-07-01 00:00:00 CDT,+72,+70,+71.2285,+78.982,+0,+0,OFF
2004-07-01 00:05:00 CDT,+72,+70,+72.1222,+78.817,+0,+0,OFF
2004-07-01 00:10:00 CDT,+72,+70,+72.2175,+78.652,+4.04801,+4.04801,COOL
2004-07-01 00:15:00 CDT,+72,+70,+71.6717,+78.487,+0,+4.04835,OFF
2004-07-01 00:20:00 CDT,+72,+70,+72.3881,+78.322,+0,+4.04835,OFF
2004-07-01 00:25:00 CDT,+72,+70,+71.2603,+78.157,+0,+4.03137,OFF
2004-07-01 00:30:00 CDT,+72,+70,+72.2557,+77.992,+0,+4.03137,OFF
2004-07-01 00:35:00 CDT,+72,+70,+70.8075,+77.827,+0,+4.0203,OFF
2004-07-01 00:40:00 CDT,+72,+70,+72.0963,+77.662,+0,+4.0203,OFF
2004-07-01 00:45:00 CDT,+72,+70,+71.3835,+77.497,+4.01033,+4.01033,COOL
2004-07-01 00:50:00 CDT,+72,+70,+71.8602,+77.332,+0,+4.01015,OFF
2004-07-01 00:55:00 CDT,+72,+70,+72.4556,+77.167,+0,+4.01015,OFF
2004-07-01 01:00:00 CDT,+72,+70,+71.4435,+77.002,+0,+4.00083,OFF
2004-07-01 01:05:00 CDT,+72,+70,+72.2677,+76.837,+0,+4.00083,OFF
2004-07-01 01:10:00 CDT,+72,+70,+70.6987,+76.672,+3.9881,+3.9881,COOL
2004-07-01 01:15:00 CDT,+72,+70,+71.9201,+76.507,+0,+3.98818,OFF
2004-07-01 01:20:00 CDT,+72,+70,+72.4088,+76.342,+0,+3.98818,OFF
2004-07-01 01:25:00 CDT,+72,+70,+71.0656,+76.177,+0,+3.97704,OFF
2004-07-01 01:30:00 CDT,+72,+70,+72.064,+76.012,+0,+3.97704,OFF
2004-07-01 01:35:00 CDT,+72,+70,+72.4258,+75.847,+0,+3.97704,OFF
2004-07-01 01:40:00 CDT,+72,+70,+71.002,+75.682,+0,+3.96111,OFF
2004-07-01 01:45:00 CDT,+72,+70,+72.0019,+75.517,+0,+3.96111,OFF
2004-07-01 01:50:00 CDT,+72,+70,+72.3547,+75.352,+0,+3.96111,OFF
2004-07-01 01:55:00 CDT,+72,+70,+71.7086,+75.187,+3.94317,+3.94317,COOL
2004-07-01 02:00:00 CDT,+72,+70,+71.5958,+75.022,+0,+3.93954,OFF
2004-07-01 02:05:00 CDT,+72,+70,+72.1531,+74.857,+0,+3.93954,OFF
2004-07-01 02:10:00 CDT,+72,+70,+72.366,+74.692,+0,+3.93954,OFF
2004-07-01 02:15:00 CDT,+72,+70,+72.4756,+74.527,+0,+3.93954,OFF
2004-07-01 02:20:00 CDT,+72,+70,+71.0372,+74.362,+0,+3.91794,OFF
2004-07-01 02:25:00 CDT,+72,+70,+71.9198,+74.197,+0,+3.91794,OFF
2004-07-01 02:30:00 CDT,+72,+70,+72.2132,+74.032,+0,+3.91794,OFF
2004-07-01 02:35:00 CDT,+72,+70,+72.3344,+73.867,+0,+3.91794,OFF
2004-07-01 02:40:00 CDT,+72,+70,+72.4019,+73.702,+0,+3.91794,OFF
2004-07-01 02:45:00 CDT,+72,+70,+72.4497,+73.537,+0,+3.91794,OFF
2004-07-01 02:50:00 CDT,+72,+70,+72.4875,+73.372,+0,+3.91794,OFF
2004-07-01 02:55:00 CDT,+72,+70,+70.8585,+73.207,+0,+3.87885,OFF
2004-07-01 03:00:00 CDT,+72,+70,+71.8071,+73.042,+0,+3.87885,OFF
2004-07-01 03:05:00 CDT,+72,+70,+72.0956,+72.877,+0,+3.87885,OFF
2004-07-01 03:10:00 CDT,+72,+70,+72.1938,+72.712,+0,+3.87885,OFF
2004-07-01 03:15:00 CDT,+72,+70,+72.2325,+72.547,+0,+3.87885,OFF
2004-07-01 03:20:00 CDT,+72,+70,+72.2521,+72.382,+0,+3.87885,OFF
2004-07-01 03:25:00 CDT,+72,+70,+72.2636,+72.217,+0,+3.87885,OFF
