# file...... multirecorder.csv
# date...... Thu Jul 27 00:24:27 2017
# user...... hieutn
# host...... (null)
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,meter_645:measured_voltage_B,meter_646:measured_voltage_B,meter_611:measured_voltage_C,meter_652:measured_voltage_A,meter_692:measured_voltage_A,meter_675:measured_voltage_A,meter_634:measured_voltage_A
2004-07-01 00:00:00 CDT,-1254.85-2168.94j,-1254.92-2168.78j,-1271.98+2211.78j,+2536.31-2.59783j,+2536.57-2.31286j,+2536.52-2.40361j,+2536.24-1.58323j
2004-07-01 00:05:00 CDT,-1254.3-2167.36j,-1254.22-2166.98j,-1265.15+2210.91j,+2536.15-5.24425j,+2536.35-4.95014j,+2536.16-5.03332j,+2535.66-4.11002j
2004-07-01 00:10:00 CDT,-1255.26-2166.1j,-1255.17-2165.43j,-1264.91+2210.21j,+2532.38-7.45324j,+2534.36-6.88659j,+2534.42-6.92604j,+2535.02-4.36823j
2004-07-01 00:15:00 CDT,-1253.84-2163.3j,-1253.82-2162.71j,-1253.47+2210.47j,+2539.41-4.6367j,+2540.28-4.18338j,+2540.26-4.39419j,+2538.17-2.05446j
2004-07-01 00:20:00 CDT,-1258.59-2161.95j,-1258.55-2161.6j,-1270.41+2211.86j,+2527.56-7.23661j,+2529.98-6.63782j,+2529.74-6.64199j,+2532.21-3.76699j
2004-07-01 00:25:00 CDT,-1255.61-2163.51j,-1255.65-2162.5j,-1260.35+2210.67j,+2534.37-7.30957j,+2534.91-6.95107j,+2534.53-7.1523j,+2534.79-5.37466j
2004-07-01 00:30:00 CDT,-1257.43-2161.28j,-1257.45-2160.92j,-1268.28+2212.97j,+2535.28-2.30561j,+2535.54-2.02067j,+2535.34-2.20303j,+2534.57-0.155586j
2004-07-01 00:35:00 CDT,-1256.45-2162.71j,-1256.43-2161.56j,-1261.69+2210.46j,+2531.18-9.65877j,+2531.96-9.28255j,+2531.49-9.55384j,+2533.44-6.54706j
2004-07-01 00:40:00 CDT,-1255.84-2160.68j,-1255.8-2160.08j,-1260.55+2211.38j,+2535.39-5.4928j,+2536.02-5.12172j,+2535.73-5.30326j,+2536.25-1.11076j
2004-07-01 00:45:00 CDT,-1255.14-2164.63j,-1254.96-2163.78j,-1260.36+2209.29j,+2531.98-10.2368j,+2533.85-9.68908j,+2533.78-9.84507j,+2535.06-5.45433j
2004-07-01 00:50:00 CDT,-1258.61-2161.52j,-1258.64-2160.99j,-1270.29+2212.16j,+2529.63-5.53147j,+2530.84-5.07876j,+2530.38-5.23759j,+2532.59-2.3704j
2004-07-01 00:55:00 CDT,-1255.9-2168.11j,-1255.81-2167.98j,-1262.24+2209.03j,+2530.55-10.7573j,+2532.93-10.1333j,+2533.06-10.2219j,+2532.35-8.20929j
2004-07-01 01:00:00 CDT,-1257.19-2161.5j,-1257.2-2161.01j,-1262.99+2210.59j,+2532.04-7.55345j,+2533.17-7.15291j,+2532.96-7.28376j,+2533.66-4.12264j
2004-07-01 01:05:00 CDT,-1255.26-2165.75j,-1255.32-2165.61j,-1262.99+2211.5j,+2535.24-4.71761j,+2535.42-4.45849j,+2534.95-4.71924j,+2535.45-2.64147j
2004-07-01 01:10:00 CDT,-1257.32-2160.84j,-1257.2-2159.94j,-1263.43+2212.36j,+2529.87-6.18968j,+2531.15-5.77282j,+2531-5.83609j,+2534.15-2.98109j
2004-07-01 01:15:00 CDT,-1256.49-2162.48j,-1256.49-2161.76j,-1261.99+2210.93j,+2534.14-5.20645j,+2534.12-4.91584j,+2533.3-5.16013j,+2534.51-2.51715j
2004-07-01 01:20:00 CDT,-1254.34-2165.31j,-1254.25-2164.94j,-1260.73+2210.4j,+2535.04-5.71224j,+2536.77-5.20836j,+2536.82-5.40861j,+2536.35-2.97438j
2004-07-01 01:25:00 CDT,-1256.19-2164.17j,-1256.09-2163.58j,-1265.38+2210.29j,+2530.33-8.3026j,+2531.92-7.83515j,+2531.95-7.82557j,+2534.21-4.08675j
2004-07-01 01:30:00 CDT,-1258.65-2159.72j,-1258.72-2158.99j,-1263.32+2211.83j,+2533.06-4.52206j,+2533.6-4.17601j,+2533.09-4.34016j,+2531.75-2.88431j
2004-07-01 01:35:00 CDT,-1255.3-2163.13j,-1255.17-2162.83j,-1262.16+2211.52j,+2534.58-3.96467j,+2535.69-3.53569j,+2535.52-3.62959j,+2536.22-0.849822j
2004-07-01 01:40:00 CDT,-1256.37-2161.49j,-1256.21-2160.39j,-1266.26+2212.66j,+2533.4-2.78734j,+2534.42-2.40065j,+2534.45-2.39161j,+2534.51-1.83389j
2004-07-01 01:45:00 CDT,-1254.91-2163.82j,-1254.97-2163.68j,-1258.11+2210.54j,+2538.81-3.514j,+2538.77-3.21956j,+2538.48-3.41102j,+2536.99-0.937184j
2004-07-01 01:50:00 CDT,-1253.35-2168.82j,-1253.31-2168.52j,-1266.14+2210.46j,+2536.73-4.97644j,+2536.97-4.72558j,+2536.76-4.92007j,+2536.61-3.48877j
2004-07-01 01:55:00 CDT,-1257.12-2162.42j,-1257.11-2162.05j,-1266.55+2214.16j,+2534.25-0.507793j,+2534.44-0.249946j,+2534.5-0.327634j,+2533.86-1.36879j
2004-07-01 02:00:00 CDT,-1256.36-2161.41j,-1256.3-2160.77j,-1265.96+2211.64j,+2533.53-3.45704j,+2534.71-3.07001j,+2534.55-3.13495j,+2535.25-0.393649j
2004-07-01 02:05:00 CDT,-1254.83-2166.03j,-1254.88-2165.9j,-1260.74+2210.12j,+2536.64-4.15328j,+2537.49-3.77143j,+2537.4-3.91551j,+2535.59-2.67235j
2004-07-01 02:10:00 CDT,-1254.28-2167.2j,-1254.24-2167.09j,-1267.62+2210.45j,+2536.05-4.42134j,+2536.29-4.19869j,+2535.96-4.41662j,+2535.71-2.71347j
2004-07-01 02:15:00 CDT,-1253.46-2168.56j,-1253.51-2168.43j,-1263.21+2209.25j,+2535.39-6.27864j,+2536.72-5.86234j,+2536.53-6.09842j,+2536.64-3.32481j
2004-07-01 02:20:00 CDT,-1256.47-2165.38j,-1256.46-2165.03j,-1271.91+2211.93j,+2533.51-2.79187j,+2533.74-2.56934j,+2533.77-2.5532j,+2532.89-3.22202j
2004-07-01 02:25:00 CDT,-1254.44-2165.76j,-1254.38-2165.65j,-1265.01+2211.25j,+2535.01-3.83099j,+2536.26-3.45707j,+2536.14-3.47127j,+2536.69-1.73766j
2004-07-01 02:30:00 CDT,-1255.33-2167.03j,-1255.39-2166.64j,-1271.17+2210.66j,+2533.61-4.63392j,+2534.21-4.35584j,+2533.96-4.43754j,+2535.16-2.19447j
2004-07-01 02:35:00 CDT,-1255.8-2167.99j,-1255.86-2167.49j,-1271.85+2210.16j,+2532.9-5.55001j,+2533.77-5.23289j,+2533.74-5.36096j,+2533.5-4.29494j
2004-07-01 02:40:00 CDT,-1256.09-2165.88j,-1256.09-2165.55j,-1270.98+2211.17j,+2534.13-3.77738j,+2534.37-3.55489j,+2533.95-3.76557j,+2534.45-1.73805j
2004-07-01 02:45:00 CDT,-1254.47-2169.84j,-1254.46-2169.53j,-1271.37+2209.2j,+2533.76-6.96842j,+2534-6.74628j,+2533.63-6.90471j,+2534.05-5.21451j
2004-07-01 02:50:00 CDT,-1254.61-2169.32j,-1254.66-2169.19j,-1272.78+2210.7j,+2535.1-3.2054j,+2535.7-2.92718j,+2535.66-2.99997j,+2535.8-1.80999j
2004-07-01 02:55:00 CDT,-1254.16-2169.08j,-1254.16-2168.95j,-1268.31+2210.08j,+2535.54-4.30356j,+2536.14-3.99999j,+2536.11-4.11413j,+2536.18-2.36j
2004-07-01 03:00:00 CDT,-1254.23-2168.04j,-1254.22-2167.93j,-1269.75+2211.04j,+2535.55-2.96926j,+2536.37-2.65982j,+2536.37-2.74933j,+2536.53-1.55075j
2004-07-01 03:05:00 CDT,-1254.72-2168.61j,-1254.78-2168.49j,-1272.76+2211.55j,+2535.87-1.63115j,+2536.09-1.41017j,+2536.05-1.48203j,+2536-1.04477j
2004-07-01 03:10:00 CDT,-1254.52-2168.7j,-1254.57-2168.58j,-1272.23+2211.3j,+2536.2-1.9306j,+2536.42-1.70961j,+2536.38-1.78147j,+2536.23-1.05028j
2004-07-01 03:15:00 CDT,-1254.73-2168.36j,-1254.78-2168.08j,-1272.67+2211.34j,+2536-1.88012j,+2536.23-1.65915j,+2536.18-1.731j,+2536-1.04554j
2004-07-01 03:20:00 CDT,-1254.2-2169.16j,-1254.25-2169.04j,-1271.3+2211.08j,+2536.67-2.17257j,+2536.89-1.95155j,+2536.85-2.02343j,+2536.4-1.31574j
