# file...... substation_load.csv
# date...... Thu Jul 27 00:24:27 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load
2004-07-01 00:00:00 CDT,+54248.7-26440j
2004-07-01 00:05:00 CDT,+132514-6424.13j
2004-07-01 00:10:00 CDT,+153434-1029.68j
2004-07-01 00:15:00 CDT,+177386+5366.66j
2004-07-01 00:20:00 CDT,+173491+4172.97j
2004-07-01 00:25:00 CDT,+197976+10515.6j
2004-07-01 00:30:00 CDT,+126281-7975.08j
2004-07-01 00:35:00 CDT,+228481+18429.3j
2004-07-01 00:40:00 CDT,+188611+8119.7j
2004-07-01 00:45:00 CDT,+212280+14264.3j
2004-07-01 00:50:00 CDT,+159640+575.243j
2004-07-01 00:55:00 CDT,+184291+6991.4j
2004-07-01 01:00:00 CDT,+194193+14621.3j
2004-07-01 01:05:00 CDT,+152769+3938.23j
2004-07-01 01:10:00 CDT,+222076+21906.3j
2004-07-01 01:15:00 CDT,+175478+9809.49j
2004-07-01 01:20:00 CDT,+159117+5584.75j
2004-07-01 01:25:00 CDT,+183429+11815.1j
2004-07-01 01:30:00 CDT,+185345+12375.4j
2004-07-01 01:35:00 CDT,+165606+7263.26j
2004-07-01 01:40:00 CDT,+159953+5770.5j
2004-07-01 01:45:00 CDT,+137645+158.707j
2004-07-01 01:50:00 CDT,+105079-8334.17j
2004-07-01 01:55:00 CDT,+153195+4056.22j
2004-07-01 02:00:00 CDT,+147208+7002.07j
2004-07-01 02:05:00 CDT,+124863+1321.68j
2004-07-01 02:10:00 CDT,+101065-4858.83j
2004-07-01 02:15:00 CDT,+122502+684.855j
2004-07-01 02:20:00 CDT,+109500-2716.94j
2004-07-01 02:25:00 CDT,+123925+1038.78j
2004-07-01 02:30:00 CDT,+89316.8-7868.16j
2004-07-01 02:35:00 CDT,+88865.8-7984.36j
2004-07-01 02:40:00 CDT,+94736-6482.81j
2004-07-01 02:45:00 CDT,+89097.3-7908.47j
2004-07-01 02:50:00 CDT,+49784.4-17922.4j
2004-07-01 02:55:00 CDT,+77071.6-10971.5j
2004-07-01 03:00:00 CDT,+75171.1-11443.8j
2004-07-01 03:05:00 CDT,+48304.4-18279.8j
2004-07-01 03:10:00 CDT,+50377.9-17754.2j
2004-07-01 03:15:00 CDT,+48295.2-18282.4j
2004-07-01 03:20:00 CDT,+48708.8-18173.1j
2004-07-01 03:25:00 CDT,+44855-19154.1j
2004-07-01 03:30:00 CDT,+47409.7-18508.6j
2004-07-01 03:35:00 CDT,+44855-19154.1j
2004-07-01 03:40:00 CDT,+44855-19154.1j
2004-07-01 03:45:00 CDT,+44855-19154.1j
2004-07-01 03:50:00 CDT,+44855-19154.1j
2004-07-01 03:55:00 CDT,+44855-19154.1j
2004-07-01 04:00:00 CDT,+45476.7-23321.8j
2004-07-01 04:05:00 CDT,+45476.7-23321.8j
2004-07-01 04:10:00 CDT,+45476.7-23321.8j
2004-07-01 04:15:00 CDT,+45476.7-23321.8j
2004-07-01 04:20:00 CDT,+45476.7-23321.8j
2004-07-01 04:25:00 CDT,+45476.7-23321.8j
2004-07-01 04:30:00 CDT,+45476.7-23321.8j
2004-07-01 04:35:00 CDT,+45476.7-23321.8j
2004-07-01 04:40:00 CDT,+45476.7-23321.8j
2004-07-01 04:45:00 CDT,+45476.7-23321.8j
2004-07-01 04:50:00 CDT,+45476.7-23321.8j
2004-07-01 04:55:00 CDT,+45476.7-23321.8j
2004-07-01 05:00:00 CDT,+49361.3-40072.2j
2004-07-01 05:05:00 CDT,+49361.3-40072.3j
2004-07-01 05:10:00 CDT,+49361.3-40072.3j
2004-07-01 05:15:00 CDT,+49361.3-40072.3j
2004-07-01 05:20:00 CDT,+49361.3-40072.3j
2004-07-01 05:25:00 CDT,+49361.3-40072.3j
2004-07-01 05:30:00 CDT,+49361.3-40072.3j
2004-07-01 05:35:00 CDT,+49361.3-40072.3j
2004-07-01 05:40:00 CDT,+49361.3-40072.3j
2004-07-01 05:45:00 CDT,+49361.3-40072.3j
2004-07-01 05:50:00 CDT,+49361.3-40072.3j
2004-07-01 05:55:00 CDT,+49361.3-40072.3j
