# file...... distribution_load.csv
# date...... Wed Jul 26 23:24:26 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load,positive_sequence_voltage
2004-07-01 00:00:00 CDT,+53454.2-26507.7j,+2401+0i
2004-07-01 00:05:00 CDT,+59249.1-25037.8j,+2401+0i
2004-07-01 00:10:00 CDT,+84897.8-18472.6j,+2401+0i
2004-07-01 00:15:00 CDT,+69199.9-22492j,+2401+0i
2004-07-01 00:20:00 CDT,+92688.4-16506.4j,+2401+0i
2004-07-01 00:25:00 CDT,+82214.5-19166.5j,+2401+0i
2004-07-01 00:30:00 CDT,+68490.4-22683.7j,+2401+0i
2004-07-01 00:35:00 CDT,+74833.9-21067.2j,+2401+0i
2004-07-01 00:40:00 CDT,+80329.6-19655.9j,+2401+0i
2004-07-01 00:45:00 CDT,+68071.8-22768.7j,+2401+0i
2004-07-01 00:50:00 CDT,+82009.8-19220.2j,+2401+0i
2004-07-01 00:55:00 CDT,+106341-12998.9j,+2401+0i
2004-07-01 01:00:00 CDT,+70583.5-17051.3j,+2401+0i
2004-07-01 01:05:00 CDT,+92945.9-11334.1j,+2401+0i
2004-07-01 01:10:00 CDT,+89139-12312.1j,+2401+0i
2004-07-01 01:15:00 CDT,+77842.6-15201.8j,+2401+0i
2004-07-01 01:20:00 CDT,+95562.9-10673.3j,+2401+0i
2004-07-01 01:25:00 CDT,+95488.1-10676.8j,+2401+0i
2004-07-01 01:30:00 CDT,+94242.6-10993.2j,+2401+0i
2004-07-01 01:35:00 CDT,+80720.6-14473.6j,+2401+0i
2004-07-01 01:40:00 CDT,+92616-11443.1j,+2401+0i
2004-07-01 01:45:00 CDT,+74267.7-16111.9j,+2401+0i
2004-07-01 01:50:00 CDT,+100800-9300.08j,+2401+0i
2004-07-01 01:55:00 CDT,+77350.1-15331.6j,+2401+0i
2004-07-01 02:00:00 CDT,+77899.3-10681.1j,+2401+0i
2004-07-01 02:05:00 CDT,+90026.9-7576.86j,+2401+0i
2004-07-01 02:10:00 CDT,+74377.2-11551.6j,+2401+0i
2004-07-01 02:15:00 CDT,+64701.2-14034.1j,+2401+0i
2004-07-01 02:20:00 CDT,+67213.2-13403.2j,+2401+0i
2004-07-01 02:25:00 CDT,+79429.4-10261j,+2401+0i
2004-07-01 02:30:00 CDT,+78434.8-10531.5j,+2401+0i
2004-07-01 02:35:00 CDT,+71972.8-12195.5j,+2401+0i
2004-07-01 02:40:00 CDT,+70811.5-12482.7j,+2401+0i
2004-07-01 02:45:00 CDT,+71343.5-12343.7j,+2401+0i
2004-07-01 02:50:00 CDT,+72165.4-12142.9j,+2401+0i
2004-07-01 02:55:00 CDT,+63113.1-14447.4j,+2401+0i
2004-07-01 03:00:00 CDT,+59603-15316.3j,+2401+0i
2004-07-01 03:05:00 CDT,+54805.2-16532.7j,+2401+0i
