# file...... house_1_1.csv
# date...... Wed Jul 26 23:24:26 2017
# user...... hieutn
# host...... (null)
# target.... house 870
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,cooling_setpoint,heating_setpoint,air_temperature,outdoor_temperature,hvac_load,last_cooling_load,system_mode
2004-07-01 00:00:00 CDT,+72,+70,+71.2285,+78.982,+0,+0,OFF
2004-07-01 00:05:00 CDT,+72,+70,+71.6459,+78.817,+0,+0,OFF
2004-07-01 00:10:00 CDT,+72,+70,+71.8523,+78.652,+0,+0,OFF
2004-07-01 00:15:00 CDT,+72,+70,+71.991,+78.487,+0,+0,OFF
2004-07-01 00:20:00 CDT,+72,+70,+72.1057,+78.322,+0,+0,OFF
2004-07-01 00:25:00 CDT,+72,+70,+72.2108,+78.157,+0,+0,OFF
2004-07-01 00:30:00 CDT,+72,+70,+72.3104,+77.992,+0,+0,OFF
2004-07-01 00:35:00 CDT,+72,+70,+72.4058,+77.827,+0,+0,OFF
2004-07-01 00:40:00 CDT,+72,+70,+72.4976,+77.662,+0,+0,OFF
2004-07-01 00:45:00 CDT,+72,+70,+71.7434,+77.497,+0,+2.67881,OFF
2004-07-01 00:50:00 CDT,+72,+70,+72.2131,+77.332,+0,+2.67881,OFF
2004-07-01 00:55:00 CDT,+72,+70,+72.4169,+77.167,+0,+2.67881,OFF
2004-07-01 01:00:00 CDT,+72,+70,+71.3387,+77.002,+2.66652,+2.66652,COOL
2004-07-01 01:05:00 CDT,+72,+70,+71.9727,+76.837,+0,+2.66697,OFF
2004-07-01 01:10:00 CDT,+72,+70,+72.3013,+76.672,+0,+2.66697,OFF
2004-07-01 01:15:00 CDT,+72,+70,+72.4536,+76.507,+0,+2.66697,OFF
2004-07-01 01:20:00 CDT,+72,+70,+71.3506,+76.342,+0,+2.65322,OFF
2004-07-01 01:25:00 CDT,+72,+70,+72.0537,+76.177,+0,+2.65322,OFF
2004-07-01 01:30:00 CDT,+72,+70,+72.3187,+76.012,+0,+2.65322,OFF
2004-07-01 01:35:00 CDT,+72,+70,+72.4454,+75.847,+0,+2.65322,OFF
2004-07-01 01:40:00 CDT,+72,+70,+71.2529,+75.682,+2.63892,+2.63892,COOL
2004-07-01 01:45:00 CDT,+72,+70,+71.949,+75.517,+0,+2.63882,OFF
2004-07-01 01:50:00 CDT,+72,+70,+72.2541,+75.352,+0,+2.63882,OFF
2004-07-01 01:55:00 CDT,+72,+70,+72.3877,+75.187,+0,+2.63882,OFF
2004-07-01 02:00:00 CDT,+72,+70,+72.4659,+75.022,+0,+2.63882,OFF
2004-07-01 02:05:00 CDT,+72,+70,+71.1578,+74.857,+0,+2.62116,OFF
2004-07-01 02:10:00 CDT,+72,+70,+71.9479,+74.692,+0,+2.62116,OFF
2004-07-01 02:15:00 CDT,+72,+70,+72.2262,+74.527,+0,+2.62116,OFF
2004-07-01 02:20:00 CDT,+72,+70,+72.3434,+74.362,+0,+2.62116,OFF
2004-07-01 02:25:00 CDT,+72,+70,+72.4087,+74.197,+0,+2.62116,OFF
2004-07-01 02:30:00 CDT,+72,+70,+72.4559,+74.032,+0,+2.62116,OFF
2004-07-01 02:35:00 CDT,+72,+70,+72.4957,+73.867,+0,+2.62116,OFF
2004-07-01 02:40:00 CDT,+72,+70,+71.6101,+73.702,+0,+2.59809,OFF
2004-07-01 02:45:00 CDT,+72,+70,+72.0775,+73.537,+0,+2.59809,OFF
2004-07-01 02:50:00 CDT,+72,+70,+72.2451,+73.372,+0,+2.59809,OFF
2004-07-01 02:55:00 CDT,+72,+70,+72.3177,+73.207,+0,+2.59809,OFF
2004-07-01 03:00:00 CDT,+72,+70,+72.359,+73.042,+0,+2.59809,OFF
2004-07-01 03:05:00 CDT,+72,+70,+72.3876,+72.877,+0,+2.59809,OFF
2004-07-01 03:10:00 CDT,+72,+70,+72.4114,+72.712,+0,+2.59809,OFF
2004-07-01 03:15:00 CDT,+72,+70,+72.4318,+72.547,+0,+2.59809,OFF
2004-07-01 03:20:00 CDT,+72,+70,+72.4495,+72.382,+0,+2.59809,OFF
2004-07-01 03:25:00 CDT,+72,+70,+72.465,+72.217,+0,+2.59809,OFF
2004-07-01 03:30:00 CDT,+72,+70,+72.4785,+72.052,+0,+2.59809,OFF
2004-07-01 03:35:00 CDT,+72,+70,+72.4894,+71.887,+0,+2.59809,OFF
2004-07-01 03:40:00 CDT,+72,+70,+72.4976,+71.722,+0,+2.59809,OFF
2004-07-01 03:45:00 CDT,+72,+70,+71.3349,+71.557,+0,+2.55067,OFF
2004-07-01 03:50:00 CDT,+72,+70,+71.9414,+71.392,+0,+2.55067,OFF
2004-07-01 03:55:00 CDT,+72,+70,+72.1349,+71.227,+0,+2.55067,OFF
2004-07-01 04:00:00 CDT,+72,+70,+72.198,+71.062,+0,+2.55067,OFF
2004-07-01 04:05:00 CDT,+72,+70,+72.2186,+70.897,+0,+2.55067,OFF
2004-07-01 04:10:00 CDT,+72,+70,+72.2241,+70.732,+0,+2.55067,OFF
2004-07-01 04:15:00 CDT,+72,+70,+72.2234,+70.567,+0,+2.55067,OFF
2004-07-01 04:20:00 CDT,+72,+70,+72.2194,+70.402,+0,+2.55067,OFF
2004-07-01 04:25:00 CDT,+72,+70,+72.2114,+70.237,+0,+2.55067,OFF
2004-07-01 04:30:00 CDT,+72,+70,+72.2033,+70.072,+0,+2.55067,OFF
2004-07-01 04:35:00 CDT,+72,+70,+72.1926,+69.907,+0,+2.55067,OFF
2004-07-01 04:40:00 CDT,+72,+70,+72.1797,+69.742,+0,+2.55067,OFF
2004-07-01 04:45:00 CDT,+72,+70,+72.1648,+69.577,+0,+2.55067,OFF
2004-07-01 04:50:00 CDT,+72,+70,+72.1478,+69.412,+0,+2.55067,OFF
2004-07-01 04:55:00 CDT,+72,+70,+72.1289,+69.247,+0,+2.55067,OFF
2004-07-01 05:00:00 CDT,+72,+70,+72.108,+69.082,+0,+2.55067,OFF
2004-07-01 05:05:00 CDT,+72,+70,+72.0883,+69.082,+0,+2.55067,OFF
2004-07-01 05:10:00 CDT,+72,+70,+72.0733,+69.082,+0,+2.55067,OFF
2004-07-01 05:15:00 CDT,+72,+70,+72.0599,+69.082,+0,+2.55067,OFF
2004-07-01 05:20:00 CDT,+72,+70,+72.0471,+69.082,+0,+2.55067,OFF
2004-07-01 05:25:00 CDT,+72,+70,+72.0347,+69.082,+0,+2.55067,OFF
2004-07-01 05:30:00 CDT,+72,+70,+72.0224,+69.082,+0,+2.55067,OFF
2004-07-01 05:35:00 CDT,+72,+70,+72.0104,+69.082,+0,+2.55067,OFF
2004-07-01 05:40:00 CDT,+72,+70,+71.9984,+69.082,+0,+2.55067,OFF
2004-07-01 05:45:00 CDT,+72,+70,+71.9867,+69.082,+0,+2.55067,OFF
2004-07-01 05:50:00 CDT,+72,+70,+71.9751,+69.082,+0,+2.55067,OFF
2004-07-01 05:55:00 CDT,+72,+70,+71.9636,+69.082,+0,+2.55067,OFF
2004-07-01 06:00:00 CDT,+72,+70,+71.9523,+69.082,+0,+2.55067,OFF
2004-07-01 06:05:00 CDT,+72,+70,+71.9506,+69.157,+0,+2.55067,OFF
2004-07-01 06:10:00 CDT,+72,+70,+71.9509,+69.232,+0,+2.55067,OFF
2004-07-01 06:15:00 CDT,+72,+70,+71.9531,+69.307,+0,+2.55067,OFF
2004-07-01 06:20:00 CDT,+72,+70,+71.9571,+69.382,+0,+2.55067,OFF
2004-07-01 06:25:00 CDT,+72,+70,+71.9629,+69.457,+0,+2.55067,OFF
2004-07-01 06:30:00 CDT,+72,+70,+71.9706,+69.532,+0,+2.55067,OFF
2004-07-01 06:35:00 CDT,+72,+70,+71.98,+69.607,+0,+2.55067,OFF
2004-07-01 06:40:00 CDT,+72,+70,+71.9911,+69.682,+0,+2.55067,OFF
2004-07-01 06:45:00 CDT,+72,+70,+72.0039,+69.757,+0,+2.55067,OFF
2004-07-01 06:50:00 CDT,+72,+70,+72.0203,+69.832,+0,+2.55067,OFF
2004-07-01 06:55:00 CDT,+72,+70,+72.0366,+69.907,+0,+2.55067,OFF
2004-07-01 07:00:00 CDT,+72,+70,+72.0547,+69.982,+0,+2.55067,OFF
2004-07-01 07:05:00 CDT,+72,+70,+72.0918,+70.147,+0,+2.55067,OFF
2004-07-01 07:10:00 CDT,+72,+70,+72.1386,+70.312,+0,+2.55067,OFF
2004-07-01 07:15:00 CDT,+72,+70,+72.1958,+70.477,+0,+2.55067,OFF
2004-07-01 07:20:00 CDT,+72,+70,+72.2645,+70.642,+0,+2.55067,OFF
2004-07-01 07:25:00 CDT,+72,+70,+72.3414,+70.807,+0,+2.55067,OFF
2004-07-01 07:30:00 CDT,+72,+70,+72.426,+70.972,+0,+2.55067,OFF
2004-07-01 07:35:00 CDT,+72,+70,+71.7809,+71.137,+2.54366,+2.54366,COOL
2004-07-01 07:40:00 CDT,+72,+70,+71.8774,+71.302,+0,+2.54389,OFF
2004-07-01 07:45:00 CDT,+72,+70,+72.2944,+71.467,+0,+2.54389,OFF
2004-07-01 07:50:00 CDT,+72,+70,+72.3026,+71.632,+2.55366,+2.55366,COOL
2004-07-01 07:55:00 CDT,+72,+70,+71.8478,+71.797,+0,+2.55442,OFF
2004-07-01 08:00:00 CDT,+72,+70,+72.3538,+71.962,+0,+2.55442,OFF
2004-07-01 08:05:00 CDT,+72,+70,+71.3442,+72.217,+0,+2.56492,OFF
2004-07-01 08:10:00 CDT,+72,+70,+72.2036,+72.472,+0,+2.56492,OFF
2004-07-01 08:15:00 CDT,+72,+70,+71.5863,+72.727,+2.57645,+2.57645,COOL
2004-07-01 08:20:00 CDT,+72,+70,+72.106,+72.982,+0,+2.57625,OFF
2004-07-01 08:25:00 CDT,+72,+70,+71.8146,+73.237,+2.58745,+2.58745,COOL
2004-07-01 08:30:00 CDT,+72,+70,+72.0963,+73.492,+0,+2.58923,OFF
2004-07-01 08:35:00 CDT,+72,+70,+71.6432,+73.747,+2.59923,+2.59923,COOL
2004-07-01 08:40:00 CDT,+72,+70,+72.1761,+74.002,+0,+2.5989,OFF
2004-07-01 08:45:00 CDT,+72,+70,+71.3087,+74.257,+0,+2.60916,OFF
2004-07-01 08:50:00 CDT,+72,+70,+72.3251,+74.512,+0,+2.60916,OFF
2004-07-01 08:55:00 CDT,+72,+70,+71.6956,+74.767,+0,+2.61998,OFF
2004-07-01 09:00:00 CDT,+72,+70,+72.4156,+75.022,+2.62602,+2.62602,COOL
2004-07-01 09:05:00 CDT,+72,+70,+72.086,+75.187,+0,+2.62723,OFF
2004-07-01 09:10:00 CDT,+72,+70,+71.3584,+75.352,+0,+2.63264,OFF
2004-07-01 09:15:00 CDT,+72,+70,+72.4209,+75.517,+0,+2.63264,OFF
2004-07-01 09:20:00 CDT,+72,+70,+71.9715,+75.682,+0,+2.63875,OFF
2004-07-01 09:25:00 CDT,+72,+70,+71.4472,+75.847,+2.64442,+2.64442,COOL
2004-07-01 09:30:00 CDT,+72,+70,+72.4105,+76.012,+0,+2.64444,OFF
2004-07-01 09:35:00 CDT,+72,+70,+71.994,+76.177,+0,+2.64858,OFF
2004-07-01 09:40:00 CDT,+72,+70,+71.3675,+76.342,+0,+2.65318,OFF
2004-07-01 09:45:00 CDT,+72,+70,+72.4865,+76.507,+0,+2.65318,OFF
2004-07-01 09:50:00 CDT,+72,+70,+72.1424,+76.672,+0,+2.65814,OFF
2004-07-01 09:55:00 CDT,+72,+70,+71.6565,+76.837,+0,+2.66267,OFF
2004-07-01 10:00:00 CDT,+72,+70,+71.9045,+77.002,+2.66625,+2.66625,COOL
2004-07-01 10:05:00 CDT,+72,+70,+72.376,+77.167,+0,+2.6671,OFF
2004-07-01 10:10:00 CDT,+72,+70,+72.0441,+77.332,+0,+2.67046,OFF
2004-07-01 10:15:00 CDT,+72,+70,+71.6102,+77.497,+0,+2.67576,OFF
2004-07-01 10:20:00 CDT,+72,+70,+71.8291,+77.662,+2.68126,+2.68126,COOL
2004-07-01 10:25:00 CDT,+72,+70,+72.4617,+77.827,+0,+2.68133,OFF
2004-07-01 10:30:00 CDT,+72,+70,+72.2143,+77.992,+0,+2.68691,OFF
2004-07-01 10:35:00 CDT,+72,+70,+71.9198,+78.157,+0,+2.69118,OFF
2004-07-01 10:40:00 CDT,+72,+70,+71.5763,+78.322,+0,+2.69532,OFF
2004-07-01 10:45:00 CDT,+72,+70,+71.7355,+78.487,+2.69677,+2.69677,COOL
2004-07-01 10:50:00 CDT,+72,+70,+72.2264,+78.652,+2.70214,+2.70214,COOL
2004-07-01 10:55:00 CDT,+72,+70,+72.4252,+78.817,+0,+2.70078,OFF
2004-07-01 11:00:00 CDT,+72,+70,+72.26,+78.982,+0,+2.70689,OFF
2004-07-01 11:05:00 CDT,+72,+70,+72.0949,+79.147,+0,+2.71291,OFF
2004-07-01 11:10:00 CDT,+72,+70,+71.9366,+79.312,+0,+2.71459,OFF
2004-07-01 11:15:00 CDT,+72,+70,+71.7895,+79.477,+0,+2.71821,OFF
2004-07-01 11:20:00 CDT,+72,+70,+71.6352,+79.642,+0,+2.71902,OFF
2004-07-01 11:25:00 CDT,+72,+70,+71.5066,+79.807,+2.72405,+2.72405,COOL
2004-07-01 11:30:00 CDT,+72,+70,+71.6318,+79.972,+2.72654,+2.72654,COOL
2004-07-01 11:35:00 CDT,+72,+70,+71.7544,+80.137,+2.73137,+2.73137,COOL
2004-07-01 11:40:00 CDT,+72,+70,+71.8635,+80.302,+2.7359,+2.7359,COOL
