# file...... multirecorder.csv
# date...... Wed Jul 26 23:24:26 2017
# user...... hieutn
# host...... (null)
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,meter_645:measured_voltage_B,meter_646:measured_voltage_B,meter_611:measured_voltage_C,meter_652:measured_voltage_A,meter_692:measured_voltage_A,meter_675:measured_voltage_A,meter_634:measured_voltage_A
2004-07-01 00:00:00 CDT,-1254.99-2169.04j,-1255.06-2168.89j,-1272.15+2211.69j,+2536.21-2.65791j,+2536.44-2.37615j,+2536.39-2.46776j,+2536.1-1.60067j
2004-07-01 00:05:00 CDT,-1255.35-2168.75j,-1255.42-2168.6j,-1272.42+2211.9j,+2535.73-2.58641j,+2535.95-2.30471j,+2535.93-2.36594j,+2535.47-2.02803j
2004-07-01 00:10:00 CDT,-1254.58-2169.37j,-1254.62-2169.1j,-1267.26+2209.85j,+2535.87-5.97535j,+2536.38-5.62104j,+2536.15-5.79036j,+2536.12-3.13502j
2004-07-01 00:15:00 CDT,-1254.8-2168.74j,-1254.87-2168.59j,-1269.4+2211.66j,+2536.75-2.9966j,+2536.98-2.71476j,+2536.87-2.83431j,+2536.37-1.77022j
2004-07-01 00:20:00 CDT,-1256.02-2165.96j,-1256.09-2165.53j,-1269.5+2211.42j,+2535.22-3.92637j,+2535.38-3.63491j,+2535.21-3.75949j,+2535.39-1.69389j
2004-07-01 00:25:00 CDT,-1254.38-2170j,-1254.45-2169.85j,-1267.93+2209.89j,+2535.83-5.87004j,+2536.36-5.51813j,+2536.22-5.63412j,+2535.95-3.65242j
2004-07-01 00:30:00 CDT,-1255.19-2168.36j,-1255.23-2168.22j,-1271.02+2211.7j,+2535.91-2.90551j,+2536.11-2.61922j,+2536.08-2.68066j,+2535.96-1.57121j
2004-07-01 00:35:00 CDT,-1255.95-2167.52j,-1256.02-2167.37j,-1271.55+2211.62j,+2535.05-3.40269j,+2535.23-3.11501j,+2535.21-3.17643j,+2535.3-1.58238j
2004-07-01 00:40:00 CDT,-1255.01-2169.48j,-1255.08-2169.33j,-1269.62+2210.3j,+2534.83-5.73998j,+2535.39-5.39378j,+2535.19-5.54229j,+2535.78-3.122j
2004-07-01 00:45:00 CDT,-1254.39-2169.33j,-1254.46-2169.18j,-1268.07+2210.9j,+2537.32-3.66035j,+2537.48-3.3679j,+2537.43-3.49247j,+2536.62-2.09709j
2004-07-01 00:50:00 CDT,-1254.98-2169.44j,-1255.05-2169.18j,-1269.01+2209.81j,+2534.99-6.36324j,+2535.47-6.02093j,+2535.29-6.14508j,+2535.71-3.33703j
2004-07-01 00:55:00 CDT,-1255.34-2167.79j,-1255.38-2167.55j,-1266.29+2210.13j,+2535.34-6.24024j,+2535.87-5.88963j,+2535.57-6.1534j,+2535.23-3.44778j
2004-07-01 01:00:00 CDT,-1255.09-2167.34j,-1255.15-2167.21j,-1270.48+2211.57j,+2536.08-2.38688j,+2536.26-2.13325j,+2536.21-2.21446j,+2536.01-1.18446j
2004-07-01 01:05:00 CDT,-1254.86-2167.66j,-1254.92-2167.52j,-1267.64+2211.42j,+2536.01-3.03397j,+2536.15-2.77347j,+2536.18-2.79232j,+2536.34-1.64372j
2004-07-01 01:10:00 CDT,-1254.74-2168.57j,-1254.77-2168.44j,-1268.66+2210.31j,+2534.38-4.96678j,+2535.56-4.55356j,+2535.44-4.69336j,+2535.83-2.39241j
2004-07-01 01:15:00 CDT,-1255.07-2167.72j,-1255.14-2167.42j,-1269.29+2210.68j,+2536.02-3.82286j,+2536.17-3.56343j,+2536.04-3.70142j,+2535.5-2.27673j
2004-07-01 01:20:00 CDT,-1256.4-2164.7j,-1256.42-2164.16j,-1270.69+2211.7j,+2534.57-3.32104j,+2534.78-3.0722j,+2534.65-3.18869j,+2534.97-1.07715j
2004-07-01 01:25:00 CDT,-1254.56-2167.56j,-1254.62-2167.31j,-1267.32+2211.08j,+2536.06-3.69499j,+2536.52-3.39855j,+2536.3-3.52984j,+2536.81-1.90885j
2004-07-01 01:30:00 CDT,-1254.03-2168.67j,-1254.07-2168.32j,-1265.68+2210.15j,+2536.71-4.80025j,+2537.18-4.49144j,+2537.05-4.63473j,+2536.17-3.0717j
2004-07-01 01:35:00 CDT,-1254.97-2167.42j,-1255.04-2167.13j,-1269.63+2211.59j,+2536.08-2.53521j,+2536.26-2.28092j,+2536.22-2.39459j,+2535.82-1.83086j
2004-07-01 01:40:00 CDT,-1255.9-2167.46j,-1255.97-2167.07j,-1270.67+2210.65j,+2533.96-5.16113j,+2534.15-4.90804j,+2533.91-5.05181j,+2534.34-3.19473j
2004-07-01 01:45:00 CDT,-1255.41-2167.98j,-1255.47-2167.71j,-1270.86+2211.17j,+2534.91-3.68894j,+2535.44-3.39172j,+2535.25-3.60139j,+2535.48-1.81593j
2004-07-01 01:50:00 CDT,-1254.41-2165.38j,-1254.36-2165.05j,-1266.02+2212.7j,+2537.89-0.45818j,+2538.06-0.203411j,+2538.05-0.324999j,+2537.36+0.0706162j
2004-07-01 01:55:00 CDT,-1255.08-2168.56j,-1255.11-2168.43j,-1270.06+2210.73j,+2535.25-4.21173j,+2535.68-3.92369j,+2535.48-4.06086j,+2535.32-2.56925j
2004-07-01 02:00:00 CDT,-1255.03-2168.67j,-1255.08-2168.54j,-1271.45+2210.27j,+2534.09-4.60134j,+2534.96-4.28279j,+2534.82-4.37969j,+2535.12-2.54643j
2004-07-01 02:05:00 CDT,-1255.53-2168.91j,-1255.58-2168.53j,-1271.85+2208.98j,+2532.12-7.6514j,+2532.91-7.33845j,+2532.66-7.46605j,+2534.07-4.06247j
2004-07-01 02:10:00 CDT,-1254.95-2166.42j,-1255-2166.29j,-1268.08+2211.65j,+2537.28-1.11272j,+2537.42-0.88079j,+2537.38-0.981894j,+2536.31-0.228576j
2004-07-01 02:15:00 CDT,-1254.9-2166.93j,-1254.89-2166.6j,-1271.27+2211.86j,+2536.17-1.22146j,+2536.38-1.00021j,+2536.36-1.03907j,+2536.1-0.565418j
2004-07-01 02:20:00 CDT,-1254.34-2168.72j,-1254.35-2168.6j,-1270.75+2210.94j,+2536.02-2.86379j,+2536.22-2.64269j,+2536.11-2.74198j,+2535.95-2.04785j
2004-07-01 02:25:00 CDT,-1253.69-2168.43j,-1253.74-2168.17j,-1266.12+2210.37j,+2537.86-3.1481j,+2537.99-2.91559j,+2537.86-3.04999j,+2536.69-2.05757j
2004-07-01 02:30:00 CDT,-1255.58-2169.45j,-1255.63-2169.17j,-1271.79+2208.99j,+2532.53-6.88451j,+2533.64-6.51029j,+2533.52-6.60321j,+2533.63-4.44157j
2004-07-01 02:35:00 CDT,-1255.66-2167.77j,-1255.66-2167.65j,-1272.97+2210.74j,+2533.97-3.77113j,+2534.55-3.49456j,+2534.43-3.58764j,+2534.27-2.46542j
2004-07-01 02:40:00 CDT,-1255.49-2167.24j,-1255.51-2166.98j,-1272.73+2211.72j,+2534.52-2.18042j,+2534.73-1.95943j,+2534.56-1.99997j,+2535.32-1.08527j
2004-07-01 02:45:00 CDT,-1254.37-2168.86j,-1254.42-2168.73j,-1269.49+2210.38j,+2536.16-3.75362j,+2536.34-3.52816j,+2536.18-3.66068j,+2536.17-1.82617j
2004-07-01 02:50:00 CDT,-1254.94-2167.03j,-1254.93-2166.8j,-1270.88+2211.62j,+2536.04-1.76894j,+2536.25-1.54775j,+2536.23-1.59182j,+2535.59-1.46974j
2004-07-01 02:55:00 CDT,-1254.89-2168.8j,-1254.91-2168.68j,-1272.38+2211.1j,+2535.08-2.84238j,+2535.29-2.62139j,+2535.12-2.72622j,+2535.35-2.16943j
2004-07-01 03:00:00 CDT,-1254.71-2169.4j,-1254.76-2169.27j,-1271.98+2210.49j,+2535.03-3.6196j,+2535.44-3.36175j,+2535.33-3.43215j,+2535.29-2.52367j
2004-07-01 03:05:00 CDT,-1254.95-2168.57j,-1255-2168.44j,-1272.22+2211.06j,+2535.74-2.51967j,+2535.94-2.30022j,+2535.81-2.39581j,+2535.72-1.18851j
2004-07-01 03:10:00 CDT,-1255-2168.05j,-1255.05-2167.93j,-1272.13+2211.24j,+2535.95-2.12638j,+2536.15-1.90687j,+2536.11-1.97896j,+2535.48-1.50315j
2004-07-01 03:15:00 CDT,-1255.02-2168.68j,-1255.07-2168.56j,-1272.98+2211.14j,+2534.55-2.79961j,+2535.07-2.53299j,+2534.95-2.62489j,+2535.53-1.59917j
2004-07-01 03:20:00 CDT,-1254.29-2169.43j,-1254.34-2169.31j,-1271.73+2210.7j,+2535.83-2.96747j,+2536.3-2.70707j,+2536.26-2.77915j,+2536.15-1.68654j
2004-07-01 03:25:00 CDT,-1254.56-2169.21j,-1254.61-2169.09j,-1272.73+2211.07j,+2536.06-2.17253j,+2536.26-1.95303j,+2536.22-2.0251j,+2536.03-1.30104j
2004-07-01 03:30:00 CDT,-1254.56-2169.21j,-1254.61-2169.09j,-1272.73+2211.07j,+2536.06-2.17253j,+2536.26-1.95303j,+2536.22-2.0251j,+2536.03-1.30104j
2004-07-01 03:35:00 CDT,-1254.45-2169.22j,-1254.5-2169.1j,-1272.43+2211.06j,+2536.19-2.18275j,+2536.39-1.96323j,+2536.34-2.03532j,+2536.19-1.31207j
2004-07-01 03:40:00 CDT,-1254.7-2168.94j,-1254.75-2168.82j,-1272.82+2211.28j,+2535.93-1.91876j,+2536.12-1.69924j,+2536.08-1.77132j,+2535.96-1.17407j
