# file...... distribution_load.csv
# date...... Wed Jul 26 22:24:25 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load,positive_sequence_voltage
2004-07-01 00:00:00 CDT,+54192.7-26443j,+2401+0i
2004-07-01 00:05:00 CDT,+81078.1-19572.5j,+2401+0i
2004-07-01 00:10:00 CDT,+107642-12758.6j,+2401+0i
2004-07-01 00:15:00 CDT,+94857.7-16063.3j,+2401+0i
2004-07-01 00:20:00 CDT,+119095-9858.44j,+2401+0i
2004-07-01 00:25:00 CDT,+92385.4-16650.9j,+2401+0i
2004-07-01 00:30:00 CDT,+102640-14092.2j,+2401+0i
2004-07-01 00:35:00 CDT,+109876-12239.2j,+2401+0i
2004-07-01 00:40:00 CDT,+127687-7652.69j,+2401+0i
2004-07-01 00:45:00 CDT,+145148-3167.71j,+2401+0i
2004-07-01 00:50:00 CDT,+127412-7697.05j,+2401+0i
2004-07-01 00:55:00 CDT,+114852-10955.5j,+2401+0i
2004-07-01 01:00:00 CDT,+134614-740.233j,+2401+0i
2004-07-01 01:05:00 CDT,+106943-7809.5j,+2401+0i
2004-07-01 01:10:00 CDT,+101314-9272.12j,+2401+0i
2004-07-01 01:15:00 CDT,+119471-4631.2j,+2401+0i
2004-07-01 01:20:00 CDT,+130547-1714.05j,+2401+0i
2004-07-01 01:25:00 CDT,+113176-6255.99j,+2401+0i
2004-07-01 01:30:00 CDT,+117071-5265.27j,+2401+0i
2004-07-01 01:35:00 CDT,+104977-8352.11j,+2401+0i
2004-07-01 01:40:00 CDT,+113691-6107.68j,+2401+0i
2004-07-01 01:45:00 CDT,+97038.1-10396.7j,+2401+0i
2004-07-01 01:50:00 CDT,+105147-8307.13j,+2401+0i
2004-07-01 01:55:00 CDT,+91383.8-11827.1j,+2401+0i
2004-07-01 02:00:00 CDT,+103028-4305.91j,+2401+0i
2004-07-01 02:05:00 CDT,+112329-1938.64j,+2401+0i
2004-07-01 02:10:00 CDT,+96229.9-6067.92j,+2401+0i
2004-07-01 02:15:00 CDT,+80551.8-10044.5j,+2401+0i
2004-07-01 02:20:00 CDT,+83711.9-9249.77j,+2401+0i
2004-07-01 02:25:00 CDT,+85826-8706.76j,+2401+0i
2004-07-01 02:30:00 CDT,+102628-4419.81j,+2401+0i
2004-07-01 02:35:00 CDT,+79632.3-10288.3j,+2401+0i
2004-07-01 02:40:00 CDT,+84058.1-9128.87j,+2401+0i
2004-07-01 02:45:00 CDT,+70110.9-12724j,+2401+0i
2004-07-01 02:50:00 CDT,+60983.9-15044.1j,+2401+0i
2004-07-01 02:55:00 CDT,+60992.1-15044.6j,+2401+0i
