# file...... house_13_2.csv
# date...... Wed Jul 26 22:24:25 2017
# user...... hieutn
# host...... (null)
# target.... house 2153
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,cooling_setpoint,heating_setpoint,air_temperature,outdoor_temperature,hvac_load,last_cooling_load,system_mode
2004-07-01 00:00:00 CDT,+72,+70,+71.0164,+78.982,+0,+0,OFF
2004-07-01 00:05:00 CDT,+72,+70,+71.507,+78.817,+0,+0,OFF
2004-07-01 00:10:00 CDT,+72,+70,+71.7539,+78.652,+0,+0,OFF
2004-07-01 00:15:00 CDT,+72,+70,+71.9119,+78.487,+0,+0,OFF
2004-07-01 00:20:00 CDT,+72,+70,+72.0357,+78.322,+0,+0,OFF
2004-07-01 00:25:00 CDT,+72,+70,+72.1447,+78.157,+0,+0,OFF
2004-07-01 00:30:00 CDT,+72,+70,+72.2458,+77.992,+0,+0,OFF
2004-07-01 00:35:00 CDT,+72,+70,+72.3415,+77.827,+0,+0,OFF
2004-07-01 00:40:00 CDT,+72,+70,+72.4328,+77.662,+0,+0,OFF
2004-07-01 00:45:00 CDT,+72,+70,+71.7639,+77.497,+3.59391,+3.59391,COOL
2004-07-01 00:50:00 CDT,+72,+70,+71.9432,+77.332,+0,+3.59556,OFF
2004-07-01 00:55:00 CDT,+72,+70,+72.2939,+77.167,+0,+3.59556,OFF
2004-07-01 01:00:00 CDT,+72,+70,+72.468,+77.002,+0,+3.59556,OFF
2004-07-01 01:05:00 CDT,+72,+70,+71.6298,+76.837,+0,+3.57704,OFF
2004-07-01 01:10:00 CDT,+72,+70,+72.1653,+76.672,+0,+3.57704,OFF
2004-07-01 01:15:00 CDT,+72,+70,+72.3994,+76.507,+0,+3.57704,OFF
2004-07-01 01:20:00 CDT,+72,+70,+71.7432,+76.342,+3.56521,+3.56521,COOL
2004-07-01 01:25:00 CDT,+72,+70,+71.947,+76.177,+0,+3.56315,OFF
2004-07-01 01:30:00 CDT,+72,+70,+72.2856,+76.012,+0,+3.56315,OFF
