# file...... distribution_load.csv
# date...... Sat Sep 02 19:14:55 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,distribution_load, positive_sequence_voltage
2000-07-01 10:00:00 EDT,+112434-258775j,+2401+0i
2000-07-01 10:01:00 EDT,+146610-249745j,+2401+0i
2000-07-01 10:02:00 EDT,+171090-243316j,+2401+0i
2000-07-01 10:03:00 EDT,+148001-249445j,+2401+0i
2000-07-01 10:04:00 EDT,+129272-254363j,+2401+0i
2000-07-01 10:05:00 EDT,+134674-252920j,+2401+0i
2000-07-01 10:06:00 EDT,+157238-246896j,+2401+0i
2000-07-01 10:07:00 EDT,+184137-239725j,+2401+0i
2000-07-01 10:08:00 EDT,+194891-236931j,+2401+0i
2000-07-01 10:09:00 EDT,+200014-235594j,+2401+0i
2000-07-01 10:10:00 EDT,+163764-245264j,+2401+0i
2000-07-01 10:11:00 EDT,+139964-251562j,+2401+0i
2000-07-01 10:12:00 EDT,+159870-246263j,+2401+0i
2000-07-01 10:13:00 EDT,+185343-239412j,+2401+0i
2000-07-01 10:14:00 EDT,+197327-236292j,+2401+0i
2000-07-01 10:15:00 EDT,+184466-239750j,+2401+0i
2000-07-01 10:16:00 EDT,+167707-244155j,+2401+0i
2000-07-01 10:17:00 EDT,+184792-239622j,+2401+0i
2000-07-01 10:18:00 EDT,+178208-241365j,+2401+0i
2000-07-01 10:19:00 EDT,+190582-238089j,+2401+0i
2000-07-01 10:20:00 EDT,+209881-233024j,+2401+0i
2000-07-01 10:21:00 EDT,+197550-236206j,+2401+0i
2000-07-01 10:22:00 EDT,+169796-243545j,+2401+0i
2000-07-01 10:23:00 EDT,+199637-235716j,+2401+0i
2000-07-01 10:24:00 EDT,+210527-232842j,+2401+0i
2000-07-01 10:25:00 EDT,+210901-232694j,+2401+0i
2000-07-01 10:26:00 EDT,+239915-224933j,+2401+0i
2000-07-01 10:27:00 EDT,+224382-228988j,+2401+0i
2000-07-01 10:28:00 EDT,+200588-235316j,+2401+0i
2000-07-01 10:29:00 EDT,+224640-229070j,+2401+0i
2000-07-01 10:30:00 EDT,+241814-224458j,+2401+0i
2000-07-01 10:31:00 EDT,+219957-230323j,+2401+0i
2000-07-01 10:32:00 EDT,+228479-228052j,+2401+0i
2000-07-01 10:33:00 EDT,+242881-224069j,+2401+0i
2000-07-01 10:34:00 EDT,+236490-225558j,+2401+0i
2000-07-01 10:35:00 EDT,+251502-221793j,+2401+0i
2000-07-01 10:36:00 EDT,+223501-229321j,+2401+0i
